# Results for training distributions calculated by paper2_02_distributions.m 
# --> table in appendix of paper2 
# 
# Date: 20-Dec-2021 
# 
# Comparison of categories: high,high+recr (findings) 
# Tick mode: 2 (exact choice of categories) 
# Log-likelihood normalization: cat 
# Cross validation: 1 
# 
# m = 1: cafpas (N_m = 142  143  142  143  149  149  147  135  149  149) 
# 
# Parameter 1 CA1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta         high          100        0.204          nan        0.208          nan        1.000          nan        -3.91        -3.92 
           1       cafpas         beta    high+recr           41        0.192          nan        0.159          nan        1.000          nan        -3.93        -3.92 
# 
# Parameter 2 CA2 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta         high          101        0.249          nan        0.221          nan        1.000          nan        -4.16        -4.23 
           1       cafpas         beta    high+recr           41        0.301          nan        0.201          nan        1.000          nan        -4.29        -4.23 
# 
# Parameter 3 CA3 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta         high          100        0.387          nan        0.258          nan        1.000          nan        -4.51        -4.44 
           1       cafpas         beta    high+recr           41        0.502          nan        0.196          nan        1.000          nan        -4.37        -4.44 
# 
# Parameter 4 CA4 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta         high          101        0.643          nan        0.206          nan        1.000          nan        -4.37        -4.15 
           1       cafpas         beta    high+recr           41        0.712          nan        0.128          nan        1.000          nan        -3.93        -4.15 
# 
# Parameter 5 CU1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta         high          105        0.245          nan        0.227          nan        1.000          nan        -4.13        -4.29 
           1       cafpas         beta    high+recr           44        0.351          nan        0.245          nan        1.000          nan        -4.45        -4.29 
# 
# Parameter 6 CU2 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta         high          105        0.339          nan        0.258          nan        1.000          nan        -4.43        -4.46 
           1       cafpas         beta    high+recr           44        0.545          nan        0.226          nan        1.000          nan        -4.48        -4.46 
# 
# Parameter 7 CB 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta         high          102        0.265          nan        0.218          nan        1.000          nan        -4.23        -4.26 
           1       cafpas         beta    high+recr           44        0.294          nan        0.205          nan        1.000          nan        -4.29        -4.26 
# 
# Parameter 8 CN 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta         high           93        0.255          nan        0.219          nan        1.000          nan        -4.19        -4.11 
           1       cafpas         beta    high+recr           41        0.212          nan        0.168          nan        1.000          nan        -4.02        -4.11 
# 
# Parameter 9 CC 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
