# Results for training distributions calculated by paper2_02_distributions.m 
# --> table in appendix of paper2 
# 
# Date: 20-Dec-2021 
# 
# Comparison of categories: HA,CI (reha) 
# Tick mode: 1 (single ticks) 
# Log-likelihood normalization: cat 
# Cross validation: 1 
# 
# m = 1: cafpas (N_m = 144  145  145  145  150  150  149  135  150  150) 
# 
# Parameter 1 CA1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta           HA          136        0.227          nan        0.213          nan        1.000          nan        -4.06        -4.23 
           1       cafpas         beta           CI            7        0.651          nan        0.218          nan        1.000          nan        -4.40        -4.23 
# 
# Parameter 2 CA2 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta           HA          137        0.302          nan        0.227          nan        1.000          nan        -4.34        -4.37 
           1       cafpas         beta           CI            7        0.670          nan        0.236          nan        1.000          nan        -4.41        -4.37 
# 
# Parameter 3 CA3 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta           HA          137        0.483          nan        0.225          nan        1.000          nan        -4.48        -4.30 
           1       cafpas         beta           CI            7        0.717          nan        0.160          nan        1.000          nan        -4.12        -4.30 
# 
# Parameter 4 CA4 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta           HA          137        0.683          nan        0.178          nan        1.000          nan        -4.23        -3.91 
           1       cafpas         beta           CI            7        0.795          nan        0.092          nan        1.000          nan        -3.59        -3.91 
# 
# Parameter 5 CU1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta           HA          143        0.306          nan        0.252          nan        1.000          nan        -4.35        -4.45 
           1       cafpas         beta           CI            7        0.420          nan        0.271          nan        1.000          nan        -4.56        -4.45 
# 
# Parameter 6 CU2 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta           HA          143        0.424          nan        0.263          nan        1.000          nan        -4.56        -4.57 
           1       cafpas         beta           CI            7        0.541          nan        0.295          nan        1.000          nan        -4.59        -4.57 
# 
# Parameter 7 CB 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta           HA          141        0.296          nan        0.218          nan        1.000          nan        -4.32        -4.27 
           1       cafpas         beta           CI            7        0.679          nan        0.174          nan        1.000          nan        -4.22        -4.27 
# 
# Parameter 8 CN 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta           HA          128        0.282          nan        0.228          nan        1.000          nan        -4.29        -4.39 
           1       cafpas         beta           CI            6        0.389          nan        0.295          nan        1.000          nan        -4.50        -4.39 
# 
# Parameter 9 CC 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta           HA          142        0.157          nan        0.127          nan        1.000          nan        -3.72        -3.84 
