# Results for training distributions calculated by paper2_02_distributions.m 
# --> table in appendix of paper2 
# 
# Date: 20-Dec-2021 
# 
# Comparison of categories: none,device (reha) 
# Tick mode: 1 (single ticks) 
# Log-likelihood normalization: cat 
# Cross validation: 1 
# 
# m = 1: cafpas (N_m = 214  215  214  215  223  223  220  205  223  222) 
# 
# Parameter 1 CA1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta         none           66        0.106          nan        0.096          nan        1.000          nan        -3.35        -3.80 
           1       cafpas         beta       device          147        0.282          nan        0.254          nan        1.000          nan        -4.24        -3.80 
# 
# Parameter 2 CA2 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta         none           66        0.104          nan        0.081          nan        1.000          nan        -3.30        -3.88 
           1       cafpas         beta       device          148        0.352          nan        0.255          nan        1.000          nan        -4.46        -3.88 
# 
# Parameter 3 CA3 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta         none           66        0.154          nan        0.143          nan        1.000          nan        -3.72        -4.09 
           1       cafpas         beta       device          147        0.524          nan        0.219          nan        1.000          nan        -4.46        -4.09 
# 
# Parameter 4 CA4 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta         none           66        0.289          nan        0.231          nan        1.000          nan        -4.31        -4.24 
           1       cafpas         beta       device          148        0.698          nan        0.170          nan        1.000          nan        -4.18        -4.24 
# 
# Parameter 5 CU1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta         none           68        0.161          nan        0.159          nan        1.000          nan        -3.74        -4.07 
           1       cafpas         beta       device          155        0.330          nan        0.264          nan        1.000          nan        -4.40        -4.07 
# 
# Parameter 6 CU2 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           1       cafpas         beta         none           68        0.200          nan        0.168          nan        1.000          nan        -3.98        -4.27 
           1       cafpas         beta       device          155        0.440          nan        0.268          nan        1.000          nan        -4.57        -4.27 
# 
# Parameter 7 CB 
